timestamp,price,quantity,side
2025-05-04 17:32:54,95058.94000000,0.00028000,sell
2025-05-04 17:32:54,95057.50000000,0.00018000,sell
2025-05-04 17:32:54,95084.61000000,0.00022000,buy
2025-05-04 17:32:55,95026.88000000,0.00245000,sell
2025-05-04 17:32:55,95021.23000000,0.00015000,buy
2025-05-04 17:32:55,95007.26000000,0.00597000,sell
2025-05-04 17:32:56,95015.98000000,0.00066000,buy
2025-05-04 17:32:58,95002.85000000,0.00007000,sell
2025-05-04 17:32:58,95000.00000000,0.00419000,sell
2025-05-04 17:32:58,95000.00000000,0.00526000,sell
2025-05-04 17:32:58,95000.00000000,0.00092000,sell
2025-05-04 17:32:58,95000.00000000,0.00010000,sell
2025-05-04 17:32:58,95000.00000000,0.00526000,sell
2025-05-04 17:32:58,94999.32000000,0.00028000,sell
2025-05-04 17:32:58,94985.39000000,0.00120000,sell
2025-05-04 17:32:59,94976.00000000,0.00101000,buy
2025-05-04 17:34:06,94975.99000000,0.05264000,sell
2025-05-04 17:34:08,94973.98000000,0.00054000,sell
2025-05-04 17:34:09,94962.62000000,0.00075000,sell
2025-05-04 17:34:10,94940.18000000,0.00009000,buy
2025-05-04 17:34:14,94940.17000000,0.00203000,sell
2025-05-04 17:34:14,94937.14000000,0.00064000,sell
2025-05-04 17:34:14,94937.14000000,0.00064000,sell
2025-05-04 17:34:14,94931.40000000,0.00106000,sell
2025-05-04 17:34:14,94912.36000000,0.00060000,sell
2025-05-04 17:34:15,94904.06000000,0.00015000,buy
2025-05-04 17:34:16,94904.05000000,0.00024000,sell
2025-05-04 17:34:16,94900.32000000,0.00002000,sell
2025-05-04 17:34:16,94898.25000000,0.00054000,sell
2025-05-04 17:34:16,94889.31000000,0.00031000,buy
2025-05-04 17:34:16,94889.30000000,0.00004000,sell
2025-05-04 17:34:16,94887.51000000,0.00159000,sell
2025-05-04 17:34:16,94886.86000000,0.00011000,sell
2025-05-04 17:34:16,94886.05000000,0.00007000,sell
2025-05-04 17:34:16,94883.15000000,0.00047000,sell
2025-05-04 17:34:16,94880.10000000,0.00046000,sell
2025-05-04 17:34:16,94878.37000000,0.00013000,sell
2025-05-04 17:34:17,94875.25000000,0.00008000,buy
2025-05-04 17:34:38,94875.24000000,0.00007000,sell
2025-05-04 17:34:39,94868.30000000,0.00106000,sell
2025-05-04 17:34:43,94858.21000000,0.00016000,sell
2025-05-04 17:34:43,94840.04000000,0.00005000,buy
2025-05-04 17:34:44,94840.04000000,0.00009000,buy
2025-05-04 17:35:12,94840.03000000,0.00031000,sell
2025-05-04 17:35:12,94840.03000000,0.00152000,sell
2025-05-04 17:35:12,94840.03000000,0.00210000,sell
2025-05-04 17:35:12,94835.21000000,0.00046000,sell
2025-05-04 17:35:12,94833.65000000,0.00038000,sell
2025-05-04 17:36:00,94833.65000000,0.00010000,sell
2025-05-04 17:36:00,94831.09000000,0.00428000,sell
2025-05-04 17:36:00,94829.35000000,0.00108000,sell
2025-05-04 17:36:00,94825.10000000,0.00384000,sell
2025-05-04 17:36:00,94811.25000000,0.00104000,sell
2025-05-04 17:36:01,94800.01000000,0.00163000,buy
